POLY_ID,MEDHVAL,PCTBACHMOR,MEDHHINC,PCTVACANT,PCTSINGLES
92,60000,10,16528,27.0903,0
93,18700,5.6452,22132,34.7656,2.7344
94,22800,15.2174,31250,19.5556,8.4444
95,69900,12.3746,29412,16.2791,9.7674
96,60000,28.2828,31731,5.1282,5.1282
97,48200,18.1395,26167,14.1509,5.6604
98,77200,39.946,37431,12.8514,6.6265
99,83500,42.2259,37500,6.6176,3.4314
100,73600,35.873,43214,21.2245,10.6122
101,62100,13.6207,28269,4.1534,9.2652
102,73800,27.9915,33750,4.7619,10.4167
103,63600,19.4836,33021,9.7744,17.2932
104,60900,16.5217,21420,33.125,0
105,52100,20.3636,26000,32.1168,11.6788
106,89400,33.4218,42098,17.5549,0
107,91000,37.8261,59107,10.8571,16.5714
108,90200,31.2775,42969,0,10.274
109,50800,15.3101,27794,15.4494,3.6517
110,76300,18.2979,29028,17.4847,13.4969
111,73500,23.2117,16277,22.292,6.4364
112,75000,5.1887,45433,0,4.7619
113,53000,10.9792,35000,12.6609,5.1502
114,64100,17.5559,14821,9.5477,8.5427
115,32800,7.1082,28365,27.6803,3.3138
116,40900,7.8176,22308,20.0861,3.1564
117,41000,8.8415,12319,14.6288,0
118,52200,18.6589,25625,12.9098,0
119,63100,32.613,49444,5.8496,2.2284
120,49300,13.7155,19467,8.7894,3.4826
121,40700,12.1658,28583,20.813,5.6911
122,37000,10.5053,16310,15.5819,12.6233
123,44700,1.5221,16027,9.8522,10.5911
124,64400,8.6902,28352,9.3361,2.0747
125,61500,10.3586,24875,9.2157,7.2549
126,53800,7.3418,20167,8.7452,8.7452
127,48900,3.8737,23656,7.6923,12.8205
128,53300,14.7727,21364,5.1546,5.6701
129,52800,15.4574,17619,5.8296,0
130,47500,22.108,24250,16.2455,4.3321
131,63600,8.6614,35125,13.0208,0
132,65800,19.1646,37639,7.2874,0
133,67800,39.7174,28125,8.8517,2.3923
134,69800,38.3268,30850,6.25,9.6875
135,57200,18.2796,27736,6.7568,2.7027
136,23600,10.6115,17125,16.5116,9.3023
137,38900,5.6582,29500,18.4746,11.8644
138,46300,13.8843,19688,11.5625,3.125
139,33800,12.26,19327,11.6162,18.9394
140,35100,6.5854,18750,9.4923,5.5188
141,41300,1.9342,11750,9.375,5.7292
142,37800,1.4151,32273,24.2667,6.4
143,25200,6.9583,15875,19.1257,14.7541
144,24700,0,17135,32.8244,12.9771
145,35700,0,18977,12.5,5.6452
146,36700,9.1623,18125,16.9435,13.9535
147,28100,4.0984,18750,17.3729,2.1186
148,30300,8.2148,15341,14.128,3.3113
149,30600,3.5573,19471,28.0488,10.2439
150,18300,0,14274,30.8901,0
151,18000,3.2787,19773,24.2105,4.2105
152,24000,3.4188,16300,21.4932,13.3484
153,37500,6.3158,16016,16.9884,10.0386
154,33800,0,11958,18.8776,0
155,31400,1.2868,35625,10.1449,12.1739
156,18800,5.868,24609,16.7883,7.2993
157,31900,1.9608,17378,17.6781,11.6095
158,23600,8.8542,33125,10.596,20.5298
159,10600,24.5614,8516,0,42.8571
160,18900,0,33224,28.8973,3.8023
161,16200,0,20893,28.1081,2.973
162,31500,4.0043,24848,9.8315,3.5112
163,28800,10.9774,31713,10.3226,12.2581
164,27800,4.685,19352,8.4158,1.9802
165,25700,5.1429,20089,5,0
166,19800,6.0847,32656,14.6179,3.9867
167,13500,0,29821,28.7879,0
168,20400,0,19702,21.0191,3.1847
169,22500,6.9444,24722,25.6098,8.5366
170,19900,0,23750,11.2745,10.7843
171,37100,4.7101,19063,31.5574,9.4262
172,12600,4.158,6822,38.9928,4.3165
173,55700,1.3008,7183,29.1246,7.7441
174,41500,0,7301,14.3041,6.3144
175,53700,27.3523,43512,1.6949,0
176,52300,0,36705,3.7383,4.6729
177,60200,19.8276,31786,3.7736,0
178,44400,6.2176,22404,13.2841,0
179,34700,5.4517,27625,5.3476,2.139
180,36400,1.2048,28046,11.7268,5.2835
181,34000,7.5359,26071,15.27,6.3315
182,40100,1.5203,23150,17.0561,3.7383
183,51700,6.2069,27361,5.1786,1.6071
184,41600,3.2258,23125,6.0656,8.3607
185,40700,11.7773,31010,4.9057,3.3962
186,55600,8.0119,35096,5.2752,5.7339
187,75300,20.5706,42692,3.5264,7.3048
188,86700,10.6996,26513,2.9221,5.8442
189,137500,27.3973,68750,0,0
190,113400,37.7119,50096,0,0
191,76400,18.2679,50341,5.3864,6.3232
192,54900,10.1019,20427,11.0644,7.7031
193,59400,5.4217,31500,7.2674,3.343
194,60900,24.5913,31296,5.1282,4.0293
195,40300,11.9122,18859,9.2086,2.8777
196,67100,9.5193,33594,8.2119,4.9007
197,73100,8.8623,36442,5.0209,3.3473
198,83800,15.8022,54276,6.1602,1.4374
199,83400,7.9292,36201,4.2627,4.3779
200,59600,15.304,25104,11.1298,9.4435
201,53100,9.2968,26184,7.5125,0
202,65500,4.4,25000,5.5866,10.8939
203,64200,10.6928,29405,13.4216,7.3724
204,58700,9.9899,37786,4.8387,2.4194
205,69200,4.2591,26000,5.6213,4.8817
206,67500,11.7105,27404,7.8212,6.1453
207,63000,13.3504,29219,3.4908,2.0534
208,20300,3.7081,13397,23.8245,12.5392
209,20800,6.6474,20638,20.3252,10.7724
210,40600,7.3059,27025,10.7988,7.3964
211,44900,2.4,20286,19.1265,2.1084
212,26800,4.3165,20504,15.3186,11.5196
213,42200,4.5564,23800,12.167,8.0817
214,54200,1.061,23826,3.2751,0
215,53800,3.0075,25893,9.5159,7.1786
216,57500,3.5363,38403,0,0
217,61600,9.1904,30565,9.7633,0
218,52900,8.6124,32240,10.2535,7.6037
219,63100,5.3704,31786,13.3663,7.797
220,58200,12.7193,36087,9.1379,1.5517
221,52600,3.7946,36346,8.5586,3.6036
222,49100,1.2061,31453,9.1912,1.4706
223,60200,10.6419,35104,2.7933,1.676
224,48200,0,35114,14.7368,45.2632
225,52100,4.6693,26607,7.1633,5.7307
226,69200,10.7558,37206,7.8261,3.4783
227,72100,6.6372,45197,2.5126,1.7588
228,109500,9.1324,36042,7.2464,9.4203
229,85200,9.8976,28229,3.2641,10.6825
230,80700,3.9526,33350,0.627,9.7179
231,122700,16.5039,45500,1.0791,2.518
232,136600,18.1087,43029,49.0122,2.54
233,132900,15.5294,30455,2.6087,0
234,17500,26.7699,28417,27.9762,0
235,98300,27.1777,40577,17.6552,12.6897
236,75200,20.4242,46250,3.1016,1.6043
237,69800,7.7922,40787,6.1176,23.7647
238,83700,21.317,31944,6.2016,4.2636
239,81700,3.9474,25781,0,7.4074
240,81100,16.0377,28352,0,0
241,68100,7.6677,13750,0,6.015
242,59200,7.5552,30793,4.0354,4.9213
243,43900,6.5041,42917,6.7669,4.8872
244,47200,18.8953,22500,10.0806,4.4355
245,42600,19.3333,24844,16.1137,5.2133
246,40200,1.8595,25930,9.8639,6.4626
247,96100,13.4041,38472,3.1301,1.318
248,61000,6.5217,34338,3.9241,6.2025
249,50300,3.794,32284,3.6946,6.8966
250,45500,9.2593,30096,7.989,6.3361
251,44800,8.7398,35278,8.7719,4.0936
252,44100,10.8384,28819,7.0796,0
253,45700,7.7951,28889,10.5556,5
254,37100,1.3793,12750,9.4059,9.4059
255,36700,4.0476,20625,14.1935,4.8387
256,36000,3.2787,23313,12.1495,2.8037
257,35700,7.907,33824,12,18.3333
258,46800,3.0303,24306,27.3196,7.732
259,32500,10.929,12266,14.486,11.215
260,38600,5.137,19118,23.3503,17.2589
261,36900,14.0523,29219,14.4737,5.9211
262,37400,10.231,32708,10,20.5
263,32900,4.0201,15568,12.9032,3.2258
264,38500,5.2,24722,14.7541,6.5574
265,40900,4.902,24306,3.5242,13.6564
266,49700,11.592,30378,9.0909,1.5521
267,28900,4.2553,31750,18.5039,15.3543
268,28900,6.0847,16688,15.7191,6.0201
269,43800,11.7002,24609,15.9494,6.0759
270,38200,5.9184,29659,16.0714,0
271,38000,7.3477,35069,24.7475,6.0606
272,43900,7.4074,43750,26.2673,19.8157
273,44900,15.1822,26250,8.8068,2.5568
274,34500,1.1958,8184,6.3966,13.4328
275,28100,7.2626,33500,33.6601,4.5752
276,38500,0,23813,12.7854,6.3927
277,38800,0,31250,11.9792,8.3333
278,32900,1.3308,21250,17.6039,10.7579
279,44800,0,30625,7.9585,2.0761
280,56000,12.2661,29464,3.0612,0
281,39700,9.0226,30048,12.8205,13.1054
282,32600,5.4502,23879,10.8992,0
283,43000,6.5663,16373,10,3.6667
284,39500,5.0209,17330,10.9244,0
285,33700,8.7289,28902,11.7486,3.8251
286,36900,2.0101,24605,17.2414,8.2759
287,36300,1.4644,35739,13.3956,4.6729
288,36600,1.6867,20298,0,2.0408
289,29100,5.2133,24875,16.0804,0
290,19300,0,21250,22.4066,2.9046
291,35100,5.045,16354,26.1538,5.7143
292,29900,0,27639,17.8082,1.3699
293,30500,3.3175,28250,16.3743,8.1871
294,25000,3.6782,18304,6.0606,6.3973
295,41100,3.1558,19333,13.2867,6.2937
296,34800,2.7311,31500,16.9951,0
297,36100,0,23750,21.9697,11.8687
298,33200,10.0225,36384,11.3636,8.4711
299,41900,1.5444,26719,15,3.6111
300,40300,2.381,16310,16.0494,3.7037
301,34700,9.2308,29472,15.9184,9.3878
302,39300,13.1455,28309,7,14.5
303,41600,16.0164,28375,15.2542,4.8023
304,42500,6.7797,44183,9.8101,2.8481
305,37800,9.0909,27232,13.2159,11.4537
306,40200,2.657,20648,25.8555,2.6616
307,49900,7.2351,26750,10.1695,2.5424
308,34600,10.8626,25417,12.2302,11.5108
309,45700,6.5678,23382,14.0127,10.1911
310,41300,7.483,30625,19.0058,7.3099
311,41500,15.7801,30875,25.0729,3.4985
312,31400,9.0164,22386,0,15.7534
313,40700,2.2082,25417,30.1255,0
314,35100,5.2632,9375,16.8919,4.0541
315,28200,8.2687,27083,27.5325,2.0779
316,29500,37.551,21591,20.8738,5.3398
317,37500,0,46250,63.2184,0
318,36500,0,9327,28.6765,8.0882
319,29200,2.6804,16548,3.3613,2.9412
320,27300,10.3604,20924,18.6047,6.4599
321,29800,5.1546,15531,23.569,0
322,31300,4.77,15950,11.437,5.8651
323,56900,51.1777,12019,10.1719,0
324,58800,20.354,17000,16.3866,7.563
325,95900,36.5462,29808,14.7992,1.2685
326,131300,26.9767,20400,0,3.5191
327,80100,17.2061,33563,20.0483,9.9034
328,122700,66.9983,39028,15.7371,4.9801
329,106600,33.3747,26181,10.275,1.3025
330,98600,45.4653,29013,3.2258,0.9677
331,110800,55.6541,52250,12.61,2.4927
332,105400,28.4468,35781,15.4762,0.9921
333,84700,15.3141,27984,9.8976,5.2901
334,61700,13.1579,30179,21.8284,8.7687
335,49400,16.643,30662,19.3548,5.8824
336,47200,4.9618,30547,8.6957,7.6923
337,38800,10.1099,25556,17.7994,8.4142
338,38200,1.4205,14931,10.6996,12.3457
339,35700,6.814,19482,10.1266,4.8101
340,38800,6.2741,25052,7.8767,8.2192
341,36400,2.1978,22262,7.2261,2.0979
342,37300,8.0158,26339,1.1136,3.3408
343,36000,3.8265,32150,11.9048,5.7823
344,33000,6.0842,28158,7.0461,5.4201
345,39000,8.2892,22530,11.8812,5.6931
346,45400,8.056,26597,12.8,4.8
347,42000,7.7496,26944,11.3537,2.4017
348,42500,6.4327,32000,6.682,2.3041
349,45900,10.0147,28529,9.2672,1.9397
350,58700,24.3568,25912,6.5282,0
351,71100,13.9474,47788,0,10
352,65900,20.3008,30398,6.1162,5.1988
353,57500,16.5926,27194,6.6838,2.3136
354,43000,7.8998,27381,12.5356,0
355,48400,11.7249,24028,11.4833,0
356,42300,2.7267,30163,10.7097,1.5484
357,43900,17.0588,22292,7.2222,8.3333
358,42600,11.2727,29875,28.7671,0
359,36700,1.6667,18125,19.9588,5.5556
360,43100,9.5729,18810,16.2222,0
361,43800,7.5738,31667,13.6622,3.7951
362,37600,1.2012,30048,14.2539,3.118
363,27400,0,20457,18.5185,5.291
364,38000,14.8148,22386,19.1549,1.6901
365,34700,6.7847,23125,8.1481,33.3333
366,40200,11.583,27284,13.8365,0
367,38000,6.9544,29519,12.6354,0
368,39000,8.0979,31576,9.1803,6.5574
369,34000,6.1489,27500,11.6751,12.1827
370,38600,0,31346,9.3333,2
371,36900,1.9126,21111,19.8758,14.2857
372,23900,12.0148,21850,18.75,7.8804
373,68400,17.7419,21731,13.8889,3.8462
374,40600,11.25,19777,17.3913,3.2609
375,42200,6.0024,25811,12.5,1.6304
376,47600,5.8271,19539,18.6,5
377,24900,5.531,17422,18.9702,0
378,37900,14.1304,24650,15.0685,0
379,61800,4.1237,19342,0,12.6126
380,58900,4.8101,10568,27.0548,0
381,89300,34.5013,25581,11.2084,0
382,107000,56.0874,21154,8.3123,0
383,62600,5.3125,4178,40.2985,1.99
384,61900,10.5603,34856,11.5607,0
385,53000,10.2564,15060,9.7744,0
386,62300,9.1286,22059,9.1837,0
387,95000,18.6312,19167,24.5033,0
388,194600,64.564,18372,10.2067,2.4548
389,91400,74.4762,15000,9.1185,3.6474
390,129000,56.13,25984,7.024,0
391,126000,57.3464,26083,8.547,0
392,38800,18.3976,31029,15.6352,0
393,190000,50.4505,18750,10.8747,2.8369
394,225000,79.4118,6830,0,4.5833
395,70000,48.7528,11014,10.5882,2.3529
396,87000,28.2258,8523,5.6537,9.1873
397,83300,13.1034,17115,0,3.6649
398,104700,82.2394,19167,2.6515,0
399,152300,57.1429,20294,3.8147,3.5422
400,203100,50.9804,10428,4.9149,0
401,88100,48.7239,30282,15.7143,3.3333
402,165200,57.3407,27500,9.9042,4.4728
403,76000,11.7021,32857,6.2992,0
404,156300,9.2504,7093,1.7915,0
405,55000,6.7901,17054,13.6691,28.0576
406,38800,14.759,27250,19.2171,0
407,36000,16,20445,29.2035,2.6549
408,43100,19.1406,22083,26.2745,1.9608
409,51300,17.2749,18281,17.3661,2.3155
410,29500,5.8081,20761,10.8844,10.8844
411,25200,8.7603,19907,16.2896,6.1086
412,32500,0,17377,31.7495,3.0238
413,35700,2.381,29958,14.8585,14.1509
414,27800,10.3131,17181,20.6266,1.8277
415,45500,2.8796,25000,20.6897,2.7586
416,27100,11.8343,17083,12.1429,6.4286
417,32500,1.9397,18317,23.622,0
418,31100,10.6849,22500,19.5652,7.4534
419,27400,1.8116,13080,8.1028,2.5692
420,30200,15.6951,12396,20.2899,3.3816
421,34900,12.4654,17146,14.9635,1.8248
422,40600,5.4688,23864,11.032,18.1495
423,28100,4.5161,20625,19.3642,13.0058
424,38100,2.3324,29563,17.2932,7.5188
425,33500,0,11344,22.6667,0
426,33600,1.5873,23000,17.2662,7.554
427,31700,4.9587,23452,21.1111,7.4074
428,29500,4.7761,11705,8.6957,4.7826
429,35400,10.1392,30188,20.8791,0
430,33500,5.205,24509,19.7727,11.8182
431,37100,6.4655,18102,16.5333,6.1333
432,43300,4.1667,36053,20.2941,4.4118
433,26600,6.4159,19891,20.1133,17.847
434,93600,32.5,36094,0,0
435,71600,21.3371,35050,5.5684,1.6241
436,75200,26.6262,41292,5.7317,1.4634
437,71400,17.5348,41500,4.3915,4.8934
438,71000,32.2917,40515,0,0
439,68100,20.6284,37679,4.185,0
440,69400,20.339,46250,5.1724,5
441,194000,54.1176,106723,2.3622,96.063
442,61900,14.9905,39886,0,14.5522
443,61700,12.069,29922,9.6667,0
444,53500,13.4956,27500,16.7665,2.994
445,48500,10.6771,25667,9.4862,13.834
446,71100,7.7612,31563,5.6075,0
447,54800,24.5833,35417,12.5,3.9773
448,67800,8.9744,33958,6.9388,2.449
449,40800,4.8598,28050,18.8442,3.7688
450,41600,8.0078,38750,16.5312,0
451,27900,8.1911,26750,19.5455,10.9091
452,36600,7.781,33235,20.6186,10.3093
453,45500,10.9504,24934,17.3077,5.0481
454,54600,10.3198,24718,11.7506,2.6379
455,48600,10.3814,34792,7.6696,0
456,45200,5.2036,23917,10.7843,0
457,26500,2.9703,15667,15.3543,12.5984
458,36600,4.4444,16058,9.5023,2.7149
459,27100,8.8372,16429,8.6486,11.8919
460,54300,22.1106,16726,16.0714,0
461,44000,16.5577,31458,13.8158,9.2105
462,36700,6.3158,24583,8.1152,9.9476
463,34300,13.4387,37188,21.5686,4.902
464,33000,6.7327,16250,15.1515,7.2261
465,34100,3.1111,29107,21.6,0
466,30400,0.8547,14792,28.5088,0
467,27300,2.8947,16726,6.7925,6.0377
468,32500,0,13482,9.0476,8.5714
469,33600,10.5991,21176,33.945,0
470,28300,11.2903,28750,6.1594,3.2609
471,29000,11.2957,31010,19.305,0
472,26700,6.4965,21250,20.7483,0
473,29200,10.5903,7214,8.8319,5.4131
474,26700,0,15714,34.4156,1.9481
475,41500,13.587,17847,27.1318,10.8527
476,23900,8.6957,10037,20,4.2424
477,22500,0,14750,21.0526,0
478,23300,4.5714,18056,24.8408,3.8217
479,31700,0,17250,33.908,0
480,41800,9.4595,29531,46.8354,0
481,15000,4.5726,13875,9.3645,12.3746
482,22900,9.6296,22000,28.4211,5.7895
483,25400,0,13875,21.3235,0
484,27900,16.2712,14821,25.1572,9.434
485,38100,0,22292,30.1676,11.1732
486,19000,0,14643,21,21
487,37200,4.3956,17250,25.2941,18.8235
488,24200,0,8967,21.2435,6.7358
489,28400,4.6512,25333,18.0064,3.537
490,29700,5.5385,14300,19.6078,3.5294
491,22000,2.7708,9640,22.8571,6.7857
492,24400,15.864,18194,20.2247,12.7341
493,37600,7.9365,16950,20.7627,17.3729
494,28000,19.6875,18790,31.8182,7.6555
495,32600,6.2035,12128,20.7792,20.1299
496,33900,4.6602,21350,22.4691,23.4568
497,61300,17.2996,9427,9.3333,6.2222
498,63100,19.6809,30208,2.008,6.4257
499,34600,6.2992,5400,8.6093,0
500,34000,16.7421,20391,19.7605,0
501,27200,5.8651,12117,14.4201,14.4201
502,22000,8.9686,29327,16.6667,6.5972
503,33100,6.0823,22200,21.663,3.9387
504,23500,2.0942,9596,27.7778,0
505,19400,10.5611,14286,32.567,7.2797
506,14700,4.771,22917,20.0528,0
507,14900,6.2305,25469,23.3962,0
508,35300,0,20809,31.746,0
509,40500,11.8056,24970,16.6667,3.0303
510,37100,10.5906,23800,7.0845,4.6322
511,30000,6.0109,16477,8,0
512,37800,11.8644,8750,14.5455,0
513,27800,9.1716,20750,23.0453,16.0494
514,26300,3.4783,30972,37.5,0.5208
515,31800,0,30625,11.254,2.8939
516,32700,11.7409,23472,12.0112,5.3073
517,39100,9.1904,18892,7.5758,0
518,39000,16.1232,36125,15.427,0
519,37400,5.6489,23289,3.4759,13.6364
520,44400,3.6765,23289,18.0282,0
521,39300,11.5385,35972,14.9398,7.2289
522,18900,9.9526,33750,14.7887,0
523,31600,11.5987,24875,25.1799,2.8777
524,45800,8.4046,29960,11.5139,0
525,65900,13.1043,37768,4.6748,6.7073
526,48300,17.4468,39583,0,0
527,61000,10.9827,26406,9.4771,13.7255
528,45600,6.8106,21607,9.3506,5.7143
529,50800,5.2536,26875,6.1662,0
530,56400,15.6627,16985,10.0515,1.933
531,82200,31.9444,34779,7.8261,8.1159
532,79200,25.7108,35637,18.5075,3.1343
533,69500,21.1039,59583,5.6657,1.4164
534,72400,20.4167,38125,8.4746,3.9548
535,61800,26.7281,33661,8.6331,10.4317
536,57900,9.3812,34583,11.5578,4.2714
537,59000,16.3934,40486,9,6.6
538,146600,62.5984,16745,6.846,6.7237
539,160300,61.0932,105512,0,43.0894
540,88900,33.7335,41490,4.4444,21.0101
541,106300,28.5926,53073,4.1551,4.1551
542,169600,60.9091,52969,0,49.2308
543,83200,26.9863,55564,3.8217,2.5478
544,67500,14.952,45909,3.9352,3.9352
545,57700,12.1554,28770,9.1111,1.3333
546,53400,14.878,39688,5.4167,0
547,70400,19.8511,53750,8.5202,8.5202
548,59500,11.6242,33357,4.5576,1.8767
549,74700,19.084,43177,8.2192,3.4247
550,118800,32.1888,27340,10.4478,12.6866
551,66200,24.4856,44444,4.8507,3.3582
552,61300,30.9038,41125,7.6531,0
553,54500,7.7821,38043,8.5443,0
554,62700,7.7447,26843,8.5568,1.0217
555,23400,5.0975,17330,16.7702,5.176
556,155800,37.9004,48333,0,31.2668
557,185000,82.2485,92341,9.2784,74.2268
558,155200,54.7222,33750,6.1224,29.932
559,73200,37.1245,32976,6.2229,0.7236
560,97400,34.2138,32656,3.8158,8.2895
561,65000,36.1914,12043,6.7871,0
562,92900,40.0761,49188,4.3643,0
563,77500,30.9673,36917,15.1629,2.005
564,112500,72.1698,29740,25.8083,0
565,85000,48.1481,16667,0,0
566,77400,44.296,26915,23.0483,0
567,126000,67.1454,37833,6.4246,1.1173
568,75600,41.7219,34500,42.7586,28.2759
569,94700,61.7729,35795,8.8889,2.6667
570,45000,0,23269,59.0909,0
571,81500,27.4074,15870,0,0
572,112500,69.8276,50536,0,0
573,75000,65.5556,36932,0,29.7872
574,88900,30.9091,60417,8.1081,18.9189
575,625000,62.1359,32031,0,0
576,89300,48.0702,39500,16.2264,0
577,90300,37.1041,24792,0,9.7902
578,75000,59.1133,45625,26.087,3.4783
579,75600,12.7907,24821,2.2599,8.4746
580,68000,15.4822,31920,10.3704,2.5926
581,112500,1.4184,11875,2.9178,0
582,18800,3.4068,14250,61.0942,0
583,29700,12.3529,23534,40.2235,0
584,137500,0,7321,8.1218,0
585,55800,0,27250,0,20.6897
586,74300,9.6154,41250,0,0
587,65000,22.5352,19167,25.4237,0
588,80000,51.2821,28214,22.381,0
589,63800,59.0604,40776,2.5974,0
590,88100,30,26250,15.2941,0
591,40900,0,29875,12.766,1.5957
592,75000,26.9542,31250,11.6848,0
593,300000,54.5259,45524,8.399,0
594,188900,56.4202,49438,5.1813,0
595,200900,61.8012,37656,10.5058,0
596,160500,57.7243,47466,8.024,1.0778
597,217700,78.7194,55536,5.6872,2.3697
598,217800,57.6271,37708,10.9531,3.4139
599,56100,11.3514,21000,14.1509,15.0943
600,27500,4.8458,12440,13.1387,22.6277
601,46900,24.0909,29167,18.4397,5.6738
602,45700,14.0969,37375,18.6207,15.1724
603,83600,32.0707,28750,5.1903,0
604,102300,19.5767,31875,4.5455,8.1818
605,111300,61.8644,42083,6.0185,0
606,102000,34.0996,37188,6.0519,0
607,87000,51.3619,40380,4.4321,0
608,130800,35.9517,46023,5.7613,4.1152
609,128100,64.476,63438,0,2.5281
610,132500,75.2137,47461,22.3085,0.9989
611,97200,62.0879,65125,0,0
612,89800,46.6447,52045,6.2409,5.5152
613,83800,33.2263,36176,9.7804,2.7944
614,93300,51.3812,41691,0,0
615,31100,0,16016,9.0909,11.6162
616,23800,0,16989,25.3275,0
617,18800,4.1667,53274,20.7143,12.8571
618,60600,25.0633,40278,19.6517,0
619,55000,20.1729,29176,34.5609,3.6827
620,27100,5.5777,34500,7.6923,16.6667
621,27500,5.9107,18125,21.8284,5.0373
622,26200,10,20000,32.7273,5.2273
623,19600,3.5461,8500,38.1818,23.6364
624,25400,8.0214,23906,32.2404,4.918
625,17200,6.4935,15208,28.6408,19.4175
626,14100,12.8049,17457,36.0902,8.2707
627,19500,4.5455,11534,17.4863,9.2896
628,29500,0,20938,43.8095,19.5238
629,30500,2.9316,27350,21.5859,8.8106
630,33300,0,14286,35.1955,19.5531
631,27500,5.4348,8750,0,12.6582
632,46500,10.0407,35208,14.8472,4.3668
633,17900,0,9896,20.5645,7.2581
634,10900,0,20921,44.1558,9.0909
635,17500,2.7451,11696,51.5738,3.3898
636,13600,7.7778,8036,44.7368,21.0526
637,12500,16,11574,21.0526,3.5088
638,17500,12.5874,15313,20,1.1765
639,14800,0,11250,35.5072,4.3478
640,52900,11.1111,18438,19.1083,0
641,35400,0,29306,30.3922,0
642,21300,6.8702,14408,56.9444,20.8333
643,21200,6.6852,8981,49.3421,12.7193
644,44800,1.992,14345,4.717,0
645,55000,13.5802,11023,27.7778,10.1852
646,54400,7.4468,23438,51.3725,0
647,78500,18.3223,21750,0,2.5362
